Region,Min Temperature (°C),Max Temperature (°C),Min Rainfall (mm),Max Rainfall (mm),Suitable Plants,Fertilizer_Usage,Pest_Incidence,Labor_Availability,Market_Access,Latitude,Longitude,Crop Yield (tons/ha),Humidity (%),Soil pH
NR II,11.004076719816826,19.758441866215183,800.6000689531244,1191.7468356058241,"Tobacco, Maize, Cotton, Wheat, Soybeans, Sorghum, Groundnuts",10.776568000642712,2.4368016508744983,55.330001061842964,37.75297853506715,-18.131823552915385,27.549598324628324,6.3790970899478925,58.923697190634364,6.0274176717524774
NR I,10.81603035010661,19.023373374027265,1081.5202978369482,2091.5875072993563,"Coffee, Tea, Bananas, Apples, Potatoes, Peas, Vegetables, Proteas",20.25683275837145,5.4726252856235735,50.340686924821995,54.735660923449295,-20.048431982872362,30.859975287279532,8.017258556240222,80.61861142911111,5.683548054658123
NR IV,27.137416441356844,38.14743397118841,505.10065500411486,749.8170968064098,"Drought-tolerant Maize, Sorghum, Pearl Millet, Finger Millet",36.68026746916513,24.498243974260387,9.758948414202537,10.088433749853344,-19.809895646536862,28.679102339660655,3.2301871249050373,62.73018397682351,5.598145686962067
NR V,28.460750972267203,41.841162259651725,292.62637444565155,803.9323431450366,"Cattle, Game-ranching",51.822805321401205,46.03978069303561,14.342807665058023,17.59187002482287,-20.797486543011843,28.941054412278017,1.3837227734801776,56.89049018581958,4.107095766110854
NR III,19.44224549098032,26.65898840514469,486.4353190784347,626.7370366554344,"Maize, Cotton, Groundnuts, Sunflowers",39.628234494643294,26.466223602112322,15.678192431538179,10.281220384272775,-19.325166129386115,29.55269019085097,4.590995231817521,61.968444131554776,5.273698589726602
NR IV,29.135031292270718,35.82968454151162,314.728243427596,666.0185866190238,"Drought-tolerant Maize, Sorghum, Pearl Millet, Finger Millet",40.85438235252556,46.60817135498736,17.00384127440064,33.89518624964231,-20.334323847590458,28.46580472106597,1.9070515885947588,67.55176286977908,5.055840244979736
NR III,18.51827187897324,31.368915390171534,575.9373701962674,466.0546976094846,"Maize, Cotton, Groundnuts, Sunflowers",28.385493131287802,36.372453712620214,39.111140598971545,34.656906561403225,-18.817942787394305,29.11369056292212,3.8831030513486096,64.10859127818695,5.611101259010481
NR I,6.107892294248138,22.572726097220958,949.5568056837574,1976.1403070832566,"Coffee, Tea, Bananas, Apples, Potatoes, Peas, Vegetables, Proteas",11.1601766132836,-1.8271049675975135,31.133866468800562,63.500470166739326,-19.830020218831397,30.531630334568327,8.388591535506169,72.9282715949399,6.619459330722566
NR V,30.512582383897517,38.83750320209945,365.78547376077125,154.21335088606241,"Cattle, Game-ranching",50.95483265110923,57.77414439707833,15.939009930531453,9.86061312438732,-21.260101121004173,28.705059940301368,0.08508650389827266,54.16008391300347,4.191180446763621
NR II,9.017147880476086,20.116045823256677,578.5318366006437,929.1272995943073,"Tobacco, Maize, Cotton, Wheat, Soybeans, Sorghum, Groundnuts",14.420406663470072,26.32084744400517,54.492004378204996,41.966711890078386,-18.646919574383364,27.080449226659724,5.470663325968125,71.3355671786525,6.384928155820647
